,X,sex,status,income,verbal,gamble
1,1,1,51,2,8,16.52079633
2,2,1,28,2.5,8,16.12079633
3,3,1,37,2,6,14.22079633
4,4,1,28,7,4,26.97079633
5,5,1,65,2,8,36.82079633
6,6,1,61,3.47,6,17.72579633
7,7,1,28,5.5,7,21.27079633
8,8,1,27,6.42,5,26.15079633
9,9,1,43,2,6,16.22079633
10,10,1,18,6,7,20.17079633
11,11,1,18,3,6,14.87079633
12,12,1,43,4.75,6,24.04579633
13,13,1,30,2.2,4,13.77079633
14,14,1,28,2,6,17.37079633
15,15,1,38,3,6,18.17079633
16,16,1,38,1.5,8,18.52079633
17,17,1,28,9.5,8,26.72079633
18,18,1,18,10,5,32.87079633
19,19,1,43,4,8,31.12079633
20,20,0,51,3.5,9,16.57079633
21,21,0,62,3,8,16.57079633
22,22,0,47,2.5,9,16.07079633
23,23,0,43,3.5,5,13.07079633
24,24,0,27,10,4,177.1207963
25,25,0,71,6.5,7,58.97079633
26,26,0,38,1.5,7,13.42079633
27,27,0,51,5.44,4,29.98079633
28,28,0,38,1,6,12.77079633
29,29,0,51,0.6,7,11.22079633
30,30,0,62,5.5,8,28.92079633
31,31,0,18,12,2,110.0707963
32,32,0,30,7,7,72.37079633
33,33,0,38,15,7,121.5707963
34,34,0,71,2,10,19.12079633
35,35,0,28,1.5,1,20.12079633
36,36,0,61,4.5,8,87.77079633
37,37,0,71,2.5,7,52.97079633
38,38,0,28,8,6,76.97079633
39,39,0,51,10,6,29.92079633
40,40,0,65,1.6,6,37.02079633
41,41,0,48,2,9,21.07079633
42,42,0,61,15,9,104.0207963
43,43,0,75,3,8,29.52079633
44,44,0,66,3.25,9,17.54579633
45,45,0,62,4.94,6,54.88079633
46,46,0,71,1.5,7,27.37079633
47,47,0,71,2.5,9,35.27079633
